time,x_master,y_master,z_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
7.69,-9.002346478576202,-11.65085753108605,23.815599126388793,-9.264854179519418,-11.895875458771242,24.24726617250234,-0.26250770094321574,-0.2450179276851916,0.4316670461135459
7.7,-9.266480292894181,-11.89568347111585,24.250543595887805,-9.525524869431743,-12.106090469055847,24.722494687061594,-0.25904457653756197,-0.2104069979399963,0.4719510911737892
7.71,-9.52714743281787,-12.1058614691363,24.725693215845908,-9.779477473297627,-12.27579356508594,25.233854929873363,-0.25233004047975705,-0.16993209594964043,0.5081617140274552
7.72,-9.781096172574593,-12.275528350712895,25.236974465293528,-10.02322032252938,-12.399336828538303,25.77608993242863,-0.24212414995478682,-0.12380847782540805,0.5391154671351011
7.73,-10.024834854028407,-12.39903628593554,25.77913043171672,-10.25307684641035,-12.471534360274712,26.342739969226336,-0.22824199238194254,-0.07249807433917077,0.5636095375096168
7.74,-10.254686917927158,-12.471199469417561,26.345701462918385,-10.465260033789235,-12.487931504120754,26.926182581397732,-0.2105731158620774,-0.01673203470319251,0.5804811184793479
7.75,-10.466865365577606,-12.487563341926737,26.9290651921234,-10.655965918386057,-12.445081293239147,27.5177421730589,-0.18910055280845128,0.042482048687590535,0.5886769809354995
7.76,-10.65756624409169,-12.444681034002386,27.520546135211966,-10.821484040776244,-12.340808379699135,28.10787501385616,-0.16391779668455442,0.10387265430325066,0.5873288786441933
7.77,-10.823079108266688,-12.340377292231835,28.11060069332791,-10.9583209933071,-12.174437627482996,28.686429229720517,-0.13524188504041135,0.16593966474883892,0.5758285363926063
7.78,-10.959910565352859,-12.173977068567112,28.689077142683814,-11.063331290073956,-11.946963671180683,29.242971684560317,-0.1034207247210972,0.227013397386429,0.5538945418765024
7.79,-11.064915144838704,-11.946475075140015,29.245542514151733,-11.133848169567901,-11.661139759471363,29.76716541576421,-0.06893302472919771,0.285335315668652,0.5216229016124778
7.8,-11.135426100872454,-11.660624623937474,29.769660025454932,-11.167805805196915,-11.321469425281217,30.249173687163843,-0.03237970432446069,0.33915519865625754,0.47951366170891063
7.81,-11.16937762253205,-11.320929293523038,30.25159312966197,-11.1638440189822,-10.934092710076447,30.68006111074502,0.005533603549849886,0.3868365834465912,0.42846798108304895
7.82,-11.165409547258827,-10.933529150561078,30.68240663144517,-11.121387139606544,-10.506568951501807,31.05215987554085,0.04402240765228349,0.4269601990592715,0.3697532440956799
7.83,-11.122946218646952,-10.505983535615389,31.0544329098285,-11.040690164506843,-10.047569115033584,31.359370682849214,0.0822560541401085,0.45841442058180526,0.3049377730207148
7.84,-11.042242648296167,-10.046963394079633,31.361572846954985,-10.922847768599912,-9.566500608719926,31.597373614328525,0.11939487969625517,0.4804627853597072,0.23580076737354005
7.85,-10.924393524330943,-9.565876091399947,31.599506689872722,-10.769764689348284,-9.073094822410358,31.7637331717171,0.15462883498265967,0.49278126898958874,0.16422648184437705
7.86,-10.771303596303762,-9.072452953963172,31.76579908453676,-10.584089235689055,-8.576991069949877,31.857892768369762,0.18721436061470698,0.49546188401329516,0.09209368383300287
7.87,-10.5856211840125,-8.576333213984785,31.859893562625558,-10.369114696802122,-8.087349690489216,31.881065276724453,0.21650648721037768,0.4889835234955697,0.021171714098894512
7.88,-10.370639586210709,-8.086677114313419,31.883003085595725,-10.128655878218785,-7.612522106062407,31.836036090390728,0.24198370799192404,0.474155008251012,-0.04696699520499692
7.89,-10.130173616709717,-7.611835970007552,31.83791310485042,-9.866909583399044,-7.159797670609129,31.726902165213858,0.26326403331067283,0.45203829939842244,-0.11101093963656083
7.9,-9.868420085995163,-7.159099021544528,31.728720602418193,-9.588308453849745,-6.735237651751016,31.55877391440924,0.28011163214541845,0.42386136979351186,-0.1699466880089524
